未来天数,真实价格,预测价格
1,131.975,138.5995
2,132.882,138.64601
3,134.016,139.09717
4,136.057,139.33243
5,135.83,139.08975
6,138.324,138.47816
7,136.737,138.64316
8,136.51,138.82304
9,135.83,138.34102
10,133.562,137.972
11,129.934,137.78125
12,129.707,137.4893
13,125.399,137.56784
14,131.295,138.55646
15,130.161,139.6299
16,133.336,140.18274
17,135.603,140.05988
18,135.15,139.43082
19,134.016,139.18658
20,135.603,138.70805
21,136.737,138.53905
22,137.191,139.00584
23,135.15,139.54698
24,135.603,140.221
25,134.696,139.90697
26,132.655,138.83276
27,134.923,138.17519
28,135.83,138.98552
29,134.016,139.91805
30,134.696,140.58879
31,133.336,140.9727
32,132.429,141.01025
33,133.789,140.9319
34,134.469,140.73776
35,133.562,140.80121
36,133.109,141.2373
37,129.934,141.18826
38,130.614,140.83945
39,130.614,140.29059
40,128.12,140.03871
41,127.667,140.21918
42,126.986,140.50572
43,126.986,140.48953
44,126.533,139.61377
45,126.986,139.20845
46,124.038,138.82259
47,119.957,138.70708
48,122.678,138.45834
49,120.637,138.44658
50,121.091,138.4652
51,118.143,138.73552
52,118.596,138.89955
53,118.143,138.80907
54,118.838,138.42708
55,116.984,138.37093
56,114.668,137.87032
57,115.363,137.55482
58,110.961,137.59285
59,112.12,138.25433
60,115.131,138.30817
61,113.046,137.76471
62,112.583,137.51497
63,114.436,137.67726
64,114.436,137.38611
65,115.826,136.9099
66,112.815,136.79878
67,115.363,137.57587
68,114.9,138.59225
69,116.289,138.8652
70,113.51,138.7305
71,117.216,138.65233
72,118.606,138.9905
73,117.216,139.94873
74,118.606,141.28854
75,119.533,142.63675
76,122.312,143.72964
77,118.606,143.97601
78,118.838,143.71362
79,117.679,143.7756
80,116.753,143.7126
81,117.216,144.21419
82,119.764,144.68925
83,118.374,145.02933
84,118.838,145.43759
85,121.617,145.44524
86,120.228,145.93546
87,120.228,147.59026
88,119.069,149.37935
89,121.617,150.818
90,121.849,150.89746
91,123.702,150.35121
92,122.544,150.30447
93,123.007,151.85689
94,122.544,153.8643
95,120.459,155.09248
96,121.849,154.81464
97,119.533,154.2842
98,120.691,153.19244
99,119.533,152.22
100,117.216,151.55702
101,116.289,151.14955
102,116.521,150.50865
103,117.448,150.08644
104,116.984,149.3407
105,119.069,148.19055
106,119.069,147.6446
107,118.606,148.13232
108,121.154,148.75766
109,123.702,148.73877
110,123.934,148.62561
111,124.397,149.4732
112,123.007,150.21259
113,124.166,150.6505
114,123.007,150.71999
115,121.386,150.8777
116,122.081,150.41888
117,122.312,149.90872
118,124.397,149.73457
119,127.872,150.45465
120,127.872,150.96922
121,127.872,151.3505
122,130.652,151.32175
123,130.884,151.2899
124,134.822,151.5736
125,135.748,151.79333
126,146.636,152.40996
127,153.817,153.75685
128,142.466,154.98463
